"cntry","w4q47","w4q50","w4q52","gndr","agea","eduyrs","eisced","hinctnta","region"
"AT",2,2,2,1,56,13,5,8,"AT13"
"AT",2,2,1,2,22,14,5,10,"AT34"
"AT",1,4,4,2,64,11,3,9,"AT13"
"AT",1,3,3,2,58,11,3,2,"AT12"
"AT",2,2,3,1,70,12,4,6,"AT12"
"AT",1,3,3,1,32,20,7,8,"AT13"
"AT",3,2,2,2,37,14,5,7,"AT31"
"AT",3,2,2,2,24,11,5,NA,"AT13"
"AT",2,3,3,2,41,12,3,NA,"AT12"
"AT",2,3,3,1,33,23,7,9,"AT31"
"AT",2,2,2,2,19,13,4,6,"AT13"
"AT",2,3,4,2,32,13,3,8,"AT31"
"AT",1,3,3,2,54,15,5,NA,"AT12"
"AT",1,3,2,1,59,15,4,9,"AT13"
"AT",2,1,1,2,32,18,6,6,"AT12"
"AT",1,3,3,1,65,16,5,5,"AT34"
"AT",1,4,4,2,40,16,6,8,"AT12"
"AT",1,3,2,1,27,14,5,9,"AT22"
"AT",2,3,3,1,64,13,5,9,"AT12"
"AT",1,3,3,2,39,15,6,NA,"AT33"
"AT",2,2,2,2,43,12,5,3,"AT13"
"AT",2,3,3,2,21,10,4,5,"AT22"
"AT",2,3,3,2,41,11,3,9,"AT12"
"AT",1,3,2,1,69,10,5,NA,"AT12"
"AT",1,3,2,2,30,13,3,1,"AT31"
"AT",1,3,4,1,75,18,7,8,"AT12"
"AT",2,3,3,2,68,15,3,3,"AT31"
"AT",2,2,3,2,21,15,6,2,"AT33"
"AT",2,2,2,2,54,11,6,NA,"AT13"
"AT",1,4,4,2,36,20,6,7,"AT13"
"AT",3,2,2,1,34,9,3,3,"AT32"
"AT",3,2,2,2,53,13,3,7,"AT12"
"AT",1,4,4,1,55,11,3,8,"AT21"
"AT",1,3,3,1,21,14,4,10,"AT13"
"AT",2,3,2,1,79,15,7,8,"AT13"
"AT",2,2,2,2,68,12,6,8,"AT31"
"AT",2,2,2,1,52,14,5,10,"AT13"
"AT",2,3,3,2,19,13,2,7,"AT12"
"AT",1,3,2,2,57,12,3,NA,"AT31"
"AT",1,2,2,1,43,12,5,9,"AT33"
"AT",1,3,3,2,57,8,1,2,"AT21"
"AT",2,3,3,2,48,12,4,5,"AT31"
"AT",2,2,2,2,38,20,7,8,"AT13"
"AT",2,2,2,2,48,12,3,8,"AT21"
"AT",1,4,4,2,59,16,5,NA,"AT21"
"AT",2,3,3,2,41,9,3,3,"AT31"
"AT",2,1,2,1,49,18,5,7,"AT12"
"AT",2,3,3,1,70,10,3,7,"AT22"
"AT",2,3,3,1,24,15,4,10,"AT13"
"AT",2,2,2,2,56,13,5,6,"AT31"
"AT",1,3,3,1,67,12,3,NA,"AT33"
"AT",1,3,3,2,31,13,5,6,"AT31"
"AT",1,3,3,1,63,20,5,9,"AT11"
"AT",2,3,3,2,71,12,5,6,"AT13"
"AT",2,3,2,2,24,15,5,5,"AT22"
"AT",3,2,1,1,60,13,5,4,"AT13"
"AT",1,3,4,1,69,12,3,5,"AT22"
"AT",1,4,4,1,73,13,5,8,"AT12"
"AT",1,3,3,1,72,18,5,9,"AT13"
"AT",2,3,2,2,21,15,5,4,"AT22"
"AT",4,2,2,2,33,14,3,7,"AT31"
"AT",1,3,3,1,51,14,5,9,"AT11"
"AT",3,1,1,1,57,10,3,2,"AT13"
"AT",2,3,3,2,77,15,6,10,"AT21"
"AT",2,3,3,1,31,12,5,NA,"AT33"
"AT",1,3,3,2,54,15,6,10,"AT21"
"AT",2,2,2,1,55,12,3,9,"AT33"
"AT",1,4,4,1,71,19,7,10,"AT12"
"AT",2,3,3,2,44,13,6,7,"AT34"
"AT",1,4,4,1,23,14,4,1,"AT13"
"AT",1,4,4,2,48,18,7,5,"AT33"
"AT",1,4,4,1,53,12,3,NA,"AT21"
"AT",2,3,3,2,41,19,5,9,"AT33"
"AT",2,3,3,2,37,17,4,9,"AT13"
"AT",2,3,3,2,57,12,6,9,"AT33"
"AT",4,2,2,1,21,13,3,4,"AT22"
"AT",1,3,3,1,63,14,3,8,"AT12"
"AT",2,2,2,2,66,11,5,9,"AT22"
"AT",1,3,3,1,55,11,5,8,"AT31"
"AT",2,2,3,1,29,13,3,7,"AT13"
"AT",1,2,2,1,50,21,7,10,"AT13"
"AT",1,4,3,2,22,15,4,8,"AT31"
"AT",1,3,2,1,49,16,5,7,"AT22"
"AT",2,3,2,1,44,18,7,10,"AT22"
"AT",3,2,3,1,25,19,6,7,"AT33"
"AT",2,2,3,1,73,17,3,3,"AT34"
"AT",1,3,3,1,38,20,7,10,"AT32"
"AT",3,2,2,2,44,12,3,4,"AT12"
"AT",1,3,3,2,42,17,6,8,"AT33"
"AT",2,2,2,1,47,13,5,10,"AT12"
"AT",2,2,2,2,80,17,4,9,"AT13"
"AT",3,3,4,2,26,20,7,1,"AT13"
"AT",2,2,2,1,67,8,3,7,"AT12"
"AT",3,2,2,1,25,13,4,2,"AT13"
"AT",1,3,3,1,73,20,7,9,"AT12"
"AT",1,4,4,1,30,19,6,10,"AT31"
"AT",2,2,2,1,59,12,3,3,"AT13"
"AT",1,3,4,1,72,14,5,8,"AT31"
"AT",1,3,3,1,78,14,5,10,"AT13"
"AT",1,3,4,1,50,13,3,9,"AT12"
"AT",3,2,2,2,25,12,3,6,"AT31"
"AT",1,3,3,1,64,9,3,6,"AT33"
"AT",2,3,4,1,49,13,6,8,"AT12"
"AT",1,3,3,1,51,19,7,10,"AT22"
"AT",2,3,3,1,42,19,5,10,"AT31"
"AT",2,3,3,1,66,14,3,5,"AT12"
"AT",2,4,4,2,60,13,5,8,"AT31"
"AT",2,3,3,2,60,10,5,7,"AT12"
"AT",2,3,3,2,58,15,5,8,"AT22"
"AT",2,3,1,2,55,26,7,8,"AT31"
"AT",1,3,2,2,20,13,5,10,"AT31"
"AT",1,3,3,2,55,11,3,5,"AT12"
"AT",2,2,2,2,25,13,5,2,"AT31"
"AT",1,3,2,2,38,18,7,10,"AT22"
"AT",4,2,4,1,64,13,2,3,"AT12"
"AT",2,3,2,1,84,19,4,4,"AT33"
"AT",1,3,3,2,35,18,6,6,"AT13"
"AT",2,2,2,1,44,13,5,9,"AT31"
"AT",2,2,3,1,72,17,7,7,"AT11"
"AT",1,2,2,2,76,10,2,10,"AT22"
"AT",1,3,3,1,65,12,3,5,"AT21"
"AT",1,3,3,2,67,10,3,9,"AT13"
"AT",1,2,3,2,61,13,5,9,"AT13"
"AT",2,2,2,2,54,16,3,6,"AT31"
"AT",1,3,4,1,26,15,5,8,"AT22"
"AT",1,3,3,2,59,19,6,9,"AT31"
"AT",1,3,3,1,62,14,5,9,"AT34"
"AT",1,4,4,2,52,12,7,9,"AT32"
